nom_lieu_csv,correspondance,id_correspondance,type_correspondance,raison,id_zone_indicative_realisee,id_zone_cynegetique_realisee,id_commune,id_lieu_tir,nom_lieu_tir,lattitude,longitude
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Chalet martin,Chalet Martin,655.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,29.0,4.0,277383,275.0,Forêt de Malmontet,,
Croix de L'Hermite,,,AUCUNE,Aucun nom similaire retrouvé,29.0,4.0,277380,,,,
minier,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,,
minier,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,,
montais,Montals,1312.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277421,598.0,Montals,,
la dauphine,La Dauphine,1349.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,6.0,2.0,277413,616.0,Valat de la Dauphine,,
les lairettes,Les Airettes,1320.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277424,602.0,L'Airette,,
Camprieu la baraque,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
Hort de dieu,L'Hort de Dieu,1363.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277413,623.0,L'Hort de Dieu,,
Massif de l’Aigoual,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
Casalis,Casalis,1334.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277413,609.0,Casalis,,
Camprieu le devois,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,6334041.8774769865,750572.8605206691
Pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329230.63436848,738927.8328305695
Pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329889.546985522,738569.6766923259
coste raste,Coste Raste,1238.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,561.0,Coste Raste,6328974.822856742,739245.9012050669
pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329735.7307724515,738672.3611496966
pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329764.927093483,738722.6551581067
pradinas,Le Pradinas,1241.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,563.0,Le Pradinas,6329503.950357639,738744.2822811318
les issards,Les Issarts,1266.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277424,578.0,Les Issarts,,
la tune,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277424,,,6326833.77252408,737233.7385710442
Tedounes,Tédounès,1251.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277427,569.0,Tédounès,,
Sogne,Les Sognes,45.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277427,26.0,Bois de Camprieu,6694704.848239328,628348.6234106898
le pas du Loup,Pas du Loup,1293.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277420,590.0,Pas de Loup,,
les moliere,Les Molières,1433.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277419,658.0,Les Molières,,
cialbe,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277419,,,6322528.736168281,742283.2253104381
La bertrande,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277419,,,,
bonels,Bonnels,1285.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277425,588.0,Col des Airettes,,
saplas,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277425,,,,
trois quilles,Les Trois Quilles,92.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277425,43.0,Les Trois Quilles,,
st peyre,St Peyre,28.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277425,20.0,St Peyre,,
saplas,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277425,,,,
Saint flour,,,AUCUNE,Aucun nom similaire retrouvé,22.0,2.0,277427,,,,
Vallée du bonheur,Vallée du Bonheur,1233.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,22.0,2.0,277413,557.0,Le Bonheur Riv,6334553.895160991,741718.6061150416
Vallée du bonheur,Vallée du Bonheur,1233.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,22.0,2.0,277413,557.0,Le Bonheur Riv,6334728.32328255,741378.832079882
Vallée du bonheur,Vallée du Bonheur,1233.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,22.0,2.0,277413,557.0,Le Bonheur Riv,6334347.955739392,742494.1221665881
Serre de saint flour,Serre de St Sauveur,1228.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,22.0,2.0,277413,554.0,Serre de St Sauveur,6333852.48741541,741161.9884772619
La caumette,La Caumette,1358.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,22.0,2.0,277413,620.0,Col de la Caumette,6335057.820950874,741810.5379966972
La caumette,La Caumette,1358.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,22.0,2.0,277413,620.0,Col de la Caumette,6335515.080760225,742732.0079526707
parelongue,Parelongue ZIC,1791.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,9.0,2.0,277424,845.0,Indéterminé,6331275.407830628,742602.0823545681
parelongue,Parelongue ZIC,1791.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,9.0,2.0,277424,845.0,Indéterminé,6330579.6807523705,741063.1405309653
parelongue,Parelongue ZIC,1791.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,9.0,2.0,277424,845.0,Indéterminé,6329354.910679152,740494.2236374936
parelongue,Parelongue ZIC,1791.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,9.0,2.0,277424,845.0,Indéterminé,6329518.659848255,740211.1585261319
parelongue,Parelongue ZIC,1791.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,9.0,2.0,277424,845.0,Indéterminé,6329227.554376924,740559.9377986684
Lingas,Le Lingas,1237.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,9.0,2.0,277424,560.0,Le Lingas,6328175.385230472,742265.5590509695
Lingas,Le Lingas,1237.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,9.0,2.0,277424,560.0,Le Lingas,6328394.152496537,741913.1152899091
Fabret parcelle 654 FDA,,,AUCUNE,Aucun nom similaire retrouvé,9.0,2.0,277424,,,6328897.758161304,742453.8390188448
Fabret,La Fabrié,1277.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,9.0,2.0,277424,584.0,La Fabrié,6330132.7298444165,742532.8730737317
Fabret,La Fabrié,1277.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,9.0,2.0,277424,584.0,La Fabrié,6330147.266196865,742711.4225710556
Touringarié,la Touringarié,1411.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,9.0,2.0,277424,645.0,la Touringarié,6329392.039959143,741929.7399185894
plaine du Lingas,Pont du Lingas,40.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,9.0,2.0,277419,25.0,Pradals (Maison Familiale),6326826.280423523,742067.7763529255
Touringarié,la Touringarié,1411.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,9.0,2.0,277424,645.0,la Touringarié,6329360.919684124,741928.3437673578
FABRET,La Fabrié,1277.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,9.0,2.0,277424,584.0,La Fabrié,6329819.800414945,742592.6600337075
Pont du Lingas,Pont du Lingas,40.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,9.0,2.0,277424,25.0,Pradals (Maison Familiale),6328298.393423078,741714.2155961836
plaine du Lingas,Pont du Lingas,40.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,9.0,2.0,277419,25.0,Pradals (Maison Familiale),6326585.556528296,742458.9341982851
plaine du Lingas,Pont du Lingas,40.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,9.0,2.0,277419,25.0,Pradals (Maison Familiale),6326875.428808719,742106.7242453502
parcelle 419,,,AUCUNE,Aucun nom similaire retrouvé,9.0,2.0,277424,,,6328066.5174750425,740571.3883230246
ZT ST SAUVEUR,St Sauveur,1438.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,27.0,2.0,277427,661.0,La Can,,
Crête Saint sauveur,Serre de St Sauveur,1228.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,27.0,2.0,277427,554.0,Serre de St Sauveur,6336583.747882035,737261.2073056393
Saint sauveur des pourcils,,,AUCUNE,Aucun nom similaire retrouvé,27.0,2.0,277427,,,6335710.542688652,736128.9953342448
Crête saint sauveur,Serre de St Sauveur,1228.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,27.0,2.0,277427,554.0,Serre de St Sauveur,6336601.7792423535,737304.316250465
vareille,Vareilles,1668.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,36.0,5.0,277393,764.0,Vareilles,,
croix de fer,La Croix de Fer Nord,180.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,31.0,5.0,277392,90.0,La Croix de Fer Nord,,
Servies,Serviès,1718.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,31.0,5.0,277378,785.0,Serviès,,
Bourrassade,Bourrassade,1677.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,31.0,5.0,277378,770.0,Rau de Bourrassade,,
Crussinas,Crussinas,106.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,31.0,5.0,277378,52.0,Crussinas,,
Le mouniau,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277385,,,6366278.222381658,771549.9882147707
Combe fer,Combefer,229.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,31.0,5.0,277390,111.0,Combos Ferros,6369616.634945905,774324.120271316
Costeillades,Les Costeilades,621.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,31.0,5.0,277385,264.0,Les Costeilades,6368807.964080317,769877.6932548961
Costeillades,Les Costeilades,621.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,31.0,5.0,277385,264.0,Les Costeilades,6368653.758593686,769496.3900237038
Fegnos,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277385,,,6371237.361869688,772020.5047441606
Chareylasses,Chareylasse,190.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,31.0,5.0,277382,94.0,Chareylasse,6371350.625266943,765197.9222914879
Le peyrounnet,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277382,,,6370617.839553446,770684.6688835684
Pin de l’almeras,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277382,,,6372578.230523623,766995.6011468059
Le grand clapier,Le Grand Clapier,79.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,36.0,L'Usclade,6368322.019205909,766768.6407058962
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6366966.110637598,767030.7513335607
mt lo ouest,,,AUCUNE,Aucun nom similaire retrouvé,2.0,6.0,277401,,,6371451.989899035,763926.5737111021
finiels,Finiels,451.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6368941.928371442,762108.017437893
finiels,Finiels,451.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6368827.260629515,762308.2132166673
bellecoste,Bellecoste,608.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,261.0,Bois de Bellecoste,6366045.427207893,768502.3600117391
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6365865.616598296,767178.7068764615
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6366572.135089557,767381.4501277144
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6365720.050665548,766967.5539618471
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6366786.125336752,767961.4168319271
mejarie,Le Jarlié,515.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,6.0,277387,218.0,Les Taillades,6364678.19060239,767921.25005309
mejarie,Le Jarlié,515.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,6.0,277387,218.0,Les Taillades,6364743.935351885,768859.1530546735
mt lo ouest,,,AUCUNE,Aucun nom similaire retrouvé,2.0,6.0,277392,,,6371210.169653289,763193.5726860922
commandeur,Le Commandeur,490.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,203.0,Bois du Commandeur,6364099.473505872,766263.6479978063
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6366939.352412212,765759.0233844087
finiels,Finiels,451.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6369032.206914667,762025.114326136
mejarie,Le Jarlié,515.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,6.0,277387,218.0,Les Taillades,6364706.264435684,768359.1809893921
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277382,199.0,Le Pic Cassini,6366463.038623258,766630.6629369872
finiel,Finiels,451.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6369268.868158117,762365.1435560375
bellecoste,Bellecoste,608.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,261.0,Bois de Bellecoste,6365626.269822433,768472.6682680576
bellecoste,Bellecoste,608.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,261.0,Bois de Bellecoste,6366055.311934697,768491.8963017891
finiels,Finiels,451.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6369639.818177058,761452.2623166725
chalet de l'aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6370183.074326763,765735.4537825122
cassini,Le Pic Cassini,483.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,2.0,6.0,277400,199.0,Le Pic Cassini,6365944.694175745,766989.0610909121
finiel,Finiels,451.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,2.0,6.0,277392,183.0,Finiels,6369183.328624461,764997.4675989393
mejarie,Le Jarlié,515.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,6.0,277387,218.0,Les Taillades,,
Les bouzedes,Les Bouzèdes,509.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,212.0,Les Bouzèdes,,
Les bouzede,Les Bouzèdes,509.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,212.0,Les Bouzèdes,,
Chalet albaric,Chalet Albaric,575.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,247.0,Rau de la Pudissine,,
Peyralte,Peyralte,583.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,250.0,Rocher de Peyralte,,
La borie,La Borie (Rnes),531.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,225.0,La Borie (Rnes),,
Masmejean haut,Masméjean,430.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,167.0,Masméjean,,
Troubat,Troubat,505.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,210.0,Troubat,,
Montcuq,Montcuq,380.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,161.0,Montcuq,,
Montcuq,Montcuq,380.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277389,161.0,Montcuq,,
Paroissiens,Paroissien,376.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,160.0,Puech Rouchien,,
Masmin,Le Masmin,937.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,396.0,Le Masmin,,
Piste de ski,Piste de ski,610.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,7.0,6.0,277387,261.0,Bois de Bellecoste,,
Montcuq,Montcuq,380.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277389,161.0,Montcuq,,
Masmejean,Masméjean,430.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,167.0,Masméjean,,
Le coffre,,,AUCUNE,Aucun nom similaire retrouvé,7.0,6.0,277387,,,,
Les pradels,Les Pradels,571.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,244.0,Les Pradels,,
La vialasse,La Vialasse,502.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,208.0,La Vialasse,,
Bayard,Bayard,592.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,255.0,Rau de Bayard,,
Pierre froide,Pierre Froide,511.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,214.0,Pierre Froide,,
Les pradels,Les Pradels,571.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,244.0,Les Pradels,,
Le coffre,,,AUCUNE,Aucun nom similaire retrouvé,7.0,6.0,277387,,,,
Gourdouse,Gourdouse,574.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,246.0,Gourdouse,,
Les Vernet,Les Vernets,387.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277400,162.0,Les Vernets,,
Montcuq,Montcuq,380.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,161.0,Montcuq,,
Bois du bossu,Bois du Bossu,572.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,245.0,Bois du Bossus,,
Le jario,,,AUCUNE,Aucun nom similaire retrouvé,7.0,6.0,277400,,,,
Bois du bossu,Bois du Bossu,572.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,245.0,Bois du Bossus,,
La borie,La Borie (Rnes),531.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,225.0,La Borie (Rnes),,
Bois de l'hermet,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277400,,,,
cepedelle,La Cépedelle,321.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,148.0,La Cépedelle,,
Salariale,Salarial,443.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,18.0,6.0,277400,175.0,Salarial,,
L'Hermet,L'Hermet,311.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,143.0,L'Hermet,,
Max,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277378,,,,
finiels,Finiels,451.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,183.0,Finiels,6363105.952142567,759094.1414285735
felgerolles,Felgérolles,437.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,171.0,Felgérolles,,
Max,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277378,,,,
Le Martinet. Le Bougès .,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277400,,,,
Max,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277378,,,6291473.525211014,857073.5381390904
Max,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277378,,,6361497.4962412175,755455.8253212243
villeneuve,Villeneuve,460.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,186.0,Le Masel,,
Bouchibarbes,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277400,,,,
cepedelle,La Cépedelle,321.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,148.0,La Cépedelle,6363081.293583845,759189.2126556255
villaret,Le Villaret,274.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,129.0,Le Villaret (Le Pont-de-Montvert),,
cepedelle,La Cépedelle,321.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,148.0,La Cépedelle,,
bonne louche,Bonne Louche,1757.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,42.0,6.0,277399,817.0,Indéterminé,,
Terre de fondpadelle,,,AUCUNE,Aucun nom similaire retrouvé,42.0,6.0,277399,,,,
Pracariat,,,AUCUNE,Aucun nom similaire retrouvé,42.0,6.0,277399,,,,
Brice,La Borie (Rnes),531.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,42.0,6.0,277399,225.0,La Borie (Rnes),,
Alexandre,Pin d'Alexandre,149.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,42.0,6.0,277399,74.0,L'Amourous,,
Les Laubies,Les Laubies,144.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,42.0,6.0,277399,72.0,Les Laubies,,
Les laubies,Les Laubies,144.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,42.0,6.0,277399,72.0,Les Laubies,,
Les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6372326.02063792,750886.4999507566
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6370933.289903276,753731.404888157
Les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6371423.408890547,752307.3259976524
Font Bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,,
font Bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6370190.303344702,753886.6202477927
les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6371558.566927525,752128.719114554
Fond Bernard,Font Bernard,478.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,32.0,6.0,277393,196.0,Rau de Font Bernard,6370409.11895219,753492.3007276934
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6369870.992858088,752650.6280560383
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6369842.17765017,752658.8304292985
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,1.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,6361315.978495802,763631.0803156345
Bouges la goudéche,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277400,,,,
La cham,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277400,,,6361481.401968785,760116.2306809379
la tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358569.437031995,762949.0234032598
la tourrete,La Tourette,796.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,37.0,7.0,277391,339.0,La Tourette Est,,
bajer,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
col des tours,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
le rouve haut,Le Rouve Haut,1486.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,37.0,7.0,277391,691.0,Le Rouve Haut,,
col des tours,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
col des tours,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
solperan,Solpéran,861.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,37.0,7.0,277391,362.0,Solpéran,,
le rond des baumes,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
la planete,La Planette,1526.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,37.0,7.0,277391,712.0,Col de la Planette ZOC,,
les cambous,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
soibrelargues,Soubrelargues,922.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,37.0,7.0,277391,390.0,L'Oultre,,
le pin de pivert,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
soubrelargues,Soubrelargues,922.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,37.0,7.0,277391,390.0,L'Oultre,,
mas neuf,Le Mas Neuf,811.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,37.0,7.0,277391,344.0,Le Mas Neuf,,
la tourrete,La Tourette,796.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,37.0,7.0,277391,339.0,La Tourette Est,,
le caylar,Le Cayla,869.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,37.0,7.0,277391,367.0,Le Cayla,,
rocher des fées,Rocher des Fées,888.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,20.0,7.0,277395,374.0,Fournel,6348827.406460864,763325.9859783238
Roulisse,,,AUCUNE,Aucun nom similaire retrouvé,20.0,7.0,277398,,,6346765.585119154,764558.8472050716
Mazade,La Mazade,905.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,20.0,7.0,277398,385.0,Le Comte,,
la vergnasse,La Vergnasse,871.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,20.0,7.0,277398,368.0,La Vergnasse,6348245.841504581,764808.9225809448
rocher des fees,Rocher des Fées,888.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,20.0,7.0,277395,374.0,Fournel,,
malhautier,Malhautier,765.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277396,322.0,Maillautier,,
vergougnoux,Le Vergougnous,784.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,25.0,7.0,277396,334.0,Le Vergougnous,,
La Cure,La Cure,773.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277396,327.0,La Cure,,
